open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore
1746950400000,103402.01000000,104789.03000000,103392.01000000,104662.01000000,522.64718000,1746964799999,54475410.92943680,139816,305.04484000,31787164.49553240,0
1746964800000,104662.00000000,104896.69000000,103810.00000000,104168.00000000,715.56970000,1746979199999,74644583.61336710,236779,318.32364000,33214553.05579570,0
1746979200000,104168.01000000,104841.99000000,103764.55000000,104452.00000000,707.00810000,1746993599999,73722149.00186700,218597,339.73616000,35429325.37131360,0
1746993600000,104452.01000000,104600.11000000,103600.00000000,104128.00000000,649.85582000,1747007999999,67609143.40109480,191169,325.73248000,33888067.23682490,0
1747008000000,104128.01000000,105100.00000000,103729.68000000,104113.99000000,858.27187000,1747022399999,89559471.72055390,250999,452.61872000,47248799.09266750,0
1747022400000,104114.00000000,105803.86000000,103774.00000000,104472.00000000,1181.02077000,1747036799999,123792950.92079900,323934,602.25596000,63166152.81617040,0
1747036800000,104471.99000000,104752.56000000,103613.37000000,103762.02000000,879.60799000,1747051199999,91767136.63815630,255943,372.09644000,38833766.47070660,0
1747051200000,103762.01000000,104641.66000000,102395.08000000,102532.69000000,1765.06396000,1747065599999,182633219.72330060,497827,876.05160000,90665387.06012240,0
1747065600000,102532.68000000,103092.22000000,100732.21000000,101857.98000000,1328.65016000,1747079999999,135516641.34415820,345438,620.37947000,63273490.51271400,0
1747080000000,101852.00000000,103122.00000000,101768.01000000,102796.12000000,547.81304000,1747094399999,56180006.08817140,185141,288.90422000,29621655.42332300,0
1747094400000,102796.12000000,102796.13000000,101446.96000000,101714.40000000,657.06826000,1747108799999,67116072.88336950,308329,301.98094000,30845764.52486530,0
1747108800000,101714.40000000,102934.65000000,101611.08000000,102658.48000000,389.24739000,1747123199999,39877084.96192930,173681,198.55283000,20338067.68281220,0
1747123200000,102658.49000000,103836.00000000,102543.94000000,103737.99000000,447.86512000,1747137599999,46261716.42189770,170988,236.15085000,24396813.96941310,0
1747137600000,103738.00000000,104030.12000000,102833.33000000,103698.00000000,1013.48171000,1747151999999,104949604.04342090,344390,489.04447000,50647686.23587160,0
1747152000000,103698.01000000,104995.25000000,103552.01000000,104818.00000000,1483.20222000,1747166399999,154609248.44694440,354738,853.31497000,88950918.27362580,0
1747166400000,104818.00000000,104963.83000000,103886.47000000,104138.04000000,506.71297000,1747180799999,52901477.23074720,184870,220.09496000,22980192.50585700,0
1747180800000,104138.03000000,104139.43000000,103459.35000000,103584.00000000,470.04359000,1747195199999,48797031.34762060,240937,207.12865000,21504558.64380970,0
1747195200000,103583.99000000,103988.00000000,103400.01000000,103711.99000000,426.78803000,1747209599999,44262420.74006470,173299,202.90325000,21043375.43324170,0
1747209600000,103711.99000000,104144.00000000,102880.31000000,103955.99000000,648.37734000,1747223999999,67139072.72486140,274336,313.17060000,32438281.72100860,0
1747224000000,103955.98000000,104364.99000000,102854.60000000,103531.02000000,814.00793000,1747238399999,84341097.52985820,384264,385.18504000,39916998.48080350,0
1747238400000,103531.02000000,103737.98000000,102620.00000000,103335.99000000,527.15380000,1747252799999,54458455.74869300,299441,270.65795000,27959883.25937250,0
1747252800000,103337.99000000,103690.00000000,103312.00000000,103533.80000000,252.08199000,1747267199999,26099461.48707610,113339,135.90617000,14072083.17190490,0
1747267200000,103533.81000000,103910.00000000,102745.98000000,102781.04000000,461.47685000,1747281599999,47716827.41453510,209804,187.48611000,19387154.43593160,0
1747281600000,102777.06000000,102984.00000000,101744.99000000,101807.99000000,441.48956000,1747295999999,45177379.38474100,204803,195.72176000,20035698.99548060,0
1747296000000,101807.99000000,102458.42000000,101535.44000000,102399.99000000,519.55825000,1747310399999,52994906.97262740,234359,278.14379000,28376079.12900240,0
1747310400000,102399.99000000,103309.39000000,101418.86000000,103280.95000000,966.02634000,1747324799999,98860425.42368750,421645,473.75777000,48513219.96865830,0
1747324800000,103280.95000000,104227.26000000,102568.26000000,103177.98000000,1162.27199000,1747339199999,120340263.48789400,439696,661.95254000,68551550.60817460,0
1747339200000,103177.99000000,104007.99000000,102742.88000000,103793.19000000,495.75209000,1747353599999,51268594.32686460,276221,281.99267000,29164817.29941520,0
1747353600000,103790.00000000,104496.82000000,103492.00000000,104042.00000000,406.36387000,1747367999999,42283135.30448810,256926,213.04610000,22172360.34407860,0
1747368000000,104042.41000000,104218.00000000,103728.00000000,103731.61000000,301.44590000,1747382399999,31348942.69764180,109362,143.95394000,14971266.33344130,0
1747382400000,103731.61000000,103952.00000000,103140.05000000,103706.01000000,465.03289000,1747396799999,48183114.69961200,143870,228.16249000,23636379.17412180,0
1747396800000,103707.99000000,104322.00000000,103379.73000000,104229.99000000,692.13050000,1747411199999,71882489.05736060,193313,352.35924000,36589013.93831560,0
1747411200000,104229.99000000,104617.21000000,103630.00000000,104073.92000000,945.88216000,1747425599999,98529314.72559760,198088,561.80165000,58528536.08924950,0
1747425600000,104073.93000000,104083.69000000,103450.53000000,103506.02000000,272.00581000,1747439999999,28194880.57429630,76747,142.92858000,14813689.70634300,0
1747440000000,103506.01000000,103616.49000000,102651.00000000,103545.99000000,509.41777000,1747454399999,52542531.47660160,162583,219.00267000,22595306.38700480,0
1747454400000,103546.00000000,103736.00000000,103300.92000000,103474.01000000,273.44006000,1747468799999,28312485.66731460,73320,117.52658000,12169186.59052430,0
1747468800000,103474.02000000,103594.08000000,102800.00000000,103033.99000000,352.72137000,1747483199999,36364286.68626470,106239,172.74880000,17810116.83832590,0
1747483200000,103034.00000000,103215.75000000,102680.00000000,102975.00000000,362.51107000,1747497599999,37343061.15797120,87011,166.02181000,17102847.80635210,0
1747497600000,102975.01000000,103402.27000000,102800.04000000,103194.01000000,364.88906000,1747511999999,37626418.22557270,104201,179.08748000,18469359.82730590,0
1747512000000,103194.00000000,103516.38000000,102946.62000000,103171.45000000,210.60214000,1747526399999,21740738.53484190,80981,103.88154000,10724507.06917490,0
1747526400000,103168.81000000,103451.70000000,103147.89000000,103320.00000000,151.66978000,1747540799999,15668088.54561960,49843,74.03800000,7647921.36312210,0
1747540800000,103320.01000000,104000.97000000,103320.01000000,103952.40000000,236.60185000,1747555199999,24532248.91233290,44352,138.68885000,14383529.81591870,0
1747555200000,103952.40000000,104129.99000000,103830.35000000,103836.02000000,310.81901000,1747569599999,32308281.45977090,55751,147.73706000,15357202.99413620,0
1747569600000,103838.00000000,105700.00000000,103737.55000000,105551.99000000,726.26573000,1747583999999,76238116.48841680,72227,437.63442000,45928387.07571760,0
1747584000000,105552.00000000,105990.00000000,103896.44000000,103926.00000000,892.70055000,1747598399999,93701558.04799340,94887,416.04599000,43687771.50870440,0
1747598400000,103926.01000000,106691.85000000,103322.49000000,106489.84000000,1063.57581000,1747612799999,111586038.25398230,229207,593.01891000,62278247.46405840,0
1747612800000,106489.97000000,107132.00000000,103587.98000000,103635.99000000,1061.82507000,1747627199999,111705809.31512310,166537,578.98565000,60967716.02508900,0
1747627200000,103636.09000000,103812.00000000,102107.93000000,103266.12000000,1127.85537000,1747641599999,116107999.32864170,167493,506.20054000,52124778.02814720,0
1747641600000,103266.13000000,103483.44000000,102813.46000000,102988.26000000,511.54768000,1747655999999,52759894.91315170,81914,239.15401000,24669159.16144550,0
1747656000000,102988.25000000,104995.26000000,102179.61000000,104823.99000000,1121.00712000,1747670399999,116058081.10971030,156922,514.94731000,53338543.22194820,0
1747670400000,104824.00000000,105595.17000000,104530.00000000,105562.81000000,1584.87698000,1747684799999,166633632.25619390,181694,892.41090000,93830254.59566740,0
1747684800000,105560.71000000,105856.03000000,105067.48000000,105618.03000000,457.93685000,1747699199999,48333594.41668250,84003,206.74342000,21817759.40018140,0
1747699200000,105618.02000000,106880.36000000,105565.00000000,105784.00000000,886.85826000,1747713599999,94205077.38082980,149214,492.53470000,52329773.76860800,0
1747713600000,105784.00000000,106436.17000000,104956.46000000,105064.01000000,482.92205000,1747727999999,51060715.59890920,83568,225.68870000,23862331.05831760,0
1747728000000,105060.02000000,105454.48000000,104888.39000000,105251.70000000,349.06454000,1747742399999,36717932.44666130,58527,184.14102000,19372409.08982070,0
1747742400000,105251.70000000,105428.00000000,104223.00000000,105374.00000000,556.93336000,1747756799999,58343947.95883550,101120,284.03613000,29754560.76808570,0
1747756800000,105376.00000000,107288.00000000,105127.29000000,107068.01000000,1502.08285000,1747771199999,159302228.20266150,170966,908.20720000,96306999.11862840,0
1747771200000,107068.01000000,107364.00000000,105974.33000000,106893.99000000,827.02197000,1747785599999,88287137.22771990,131614,405.24072000,43271193.03354390,0
1747785600000,106894.00000000,107258.18000000,106240.42000000,106890.73000000,441.06031000,1747799999999,47114328.62015940,96685,213.57907000,22816755.80620950,0
1747800000000,106890.73000000,108038.44000000,106504.91000000,106573.59000000,979.07799000,1747814399999,105197128.64726980,140654,507.64699000,54555687.31005810,0
1747814400000,106572.02000000,106840.00000000,106136.38000000,106594.03000000,466.33010000,1747828799999,49639691.19782950,71374,251.88901000,26811977.26233310,0
1747828800000,106594.02000000,109554.50000000,106375.38000000,109032.42000000,1685.66835000,1747843199999,182691012.74142630,244204,972.99283000,105473290.41289360,0
1747843200000,109032.43000000,109914.89000000,106199.86000000,108672.96000000,3036.18294000,1747857599999,328303886.41927580,385607,1602.58054000,173565500.45170690,0
1747857600000,108668.18000000,110838.86000000,107790.00000000,109702.20000000,1286.08667000,1747871999999,140528440.80990700,180970,674.45835000,73765396.99605720,0
1747872000000,109702.21000000,111924.16000000,109249.19000000,111810.00000000,1260.78066000,1747886399999,139367611.98062060,181964,646.05051000,71496851.00907060,0
