open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore
1760489100000,112991.00000000,113171.28000000,112920.07000000,112920.07000000,17.78668000,1760489399999,2011345.04395620,3587,8.27280000,935391.51432530,0
1760489400000,112923.99000000,113044.40000000,112876.92000000,113020.00000000,5.12732000,1760489699999,579181.28275500,2225,4.02437000,454590.06927270,0
1760489700000,113015.00000000,113079.72000000,112952.00000000,113050.17000000,7.88614000,1760489999999,891294.31158730,3093,3.42023000,386523.69597160,0
1760490000000,113050.01000000,113079.38000000,112700.98000000,112703.85000000,13.43704000,1760490299999,1516516.62603060,3467,3.09080000,348712.78966890,0
1760490300000,112703.85000000,112721.96000000,112479.17000000,112565.99000000,14.28435000,1760490599999,1608125.57524500,3986,4.47270000,503662.94515990,0
1760490600000,112565.99000000,112951.20000000,112565.99000000,112793.76000000,10.33170000,1760490899999,1165615.88254940,3523,6.43028000,725424.29174080,0
1760490900000,112791.65000000,112898.00000000,112699.17000000,112885.12000000,7.67392000,1760491199999,865566.38744690,2480,2.48316000,280034.41995570,0
1760491200000,112889.00000000,112932.74000000,112717.21000000,112866.32000000,6.74085000,1760491499999,760387.82440850,2770,2.37802000,268201.47626900,0
1760491500000,112865.52000000,112897.00000000,112548.38000000,112548.38000000,12.48557000,1760491799999,1407748.73327620,2361,1.87682000,211638.68142540,0
1760491800000,112548.37000000,112587.30000000,112387.33000000,112442.99000000,14.54973000,1760492099999,1636489.88186840,3589,7.25764000,816169.84351570,0
1760492100000,112443.00000000,112582.39000000,112430.16000000,112492.60000000,8.08829000,1760492399999,909825.84735540,2449,3.78451000,425727.12953860,0
1760492400000,112490.03000000,112583.79000000,112420.01000000,112568.99000000,5.28489000,1760492699999,594608.92729420,2208,2.76234000,310766.70240790,0
1760492700000,112569.99000000,112653.50000000,112495.13000000,112643.01000000,5.87038000,1760492999999,660928.69260570,2541,1.95672000,220280.92040230,0
1760493000000,112643.01000000,112835.00000000,112643.01000000,112707.18000000,7.55243000,1760493299999,851648.77596250,3041,3.87754000,437234.32242470,0
1760493300000,112703.85000000,112799.00000000,112700.52000000,112797.24000000,2.72579000,1760493599999,307387.60700490,1291,1.10444000,124527.10521680,0
1760493600000,112797.24000000,112865.98000000,112732.10000000,112856.99000000,6.65971000,1760493899999,751257.87669230,2818,4.51383000,509151.17004270,0
1760493900000,112857.00000000,113037.90000000,112804.00000000,112809.01000000,19.30071000,1760494199999,2179736.82470750,4967,9.28083000,1048236.88535300,0
1760494200000,112809.01000000,113050.17000000,112793.82000000,113022.00000000,7.46360000,1760494499999,843130.33218100,3678,4.39878000,496836.55020950,0
1760494500000,113021.01000000,113135.67000000,112924.37000000,113107.99000000,17.38259000,1760494799999,1964941.39956780,5116,9.99104000,1129330.47680480,0
1760494800000,113108.00000000,113231.33000000,113075.67000000,113191.00000000,8.32827000,1760495099999,942591.75410990,3546,4.72152000,534363.65803720,0
1760495100000,113192.00000000,113616.79000000,113192.00000000,113612.25000000,22.30739000,1760495399999,2530526.24480720,4952,13.95772000,1583267.26904130,0
1760495400000,113612.25000000,113682.16000000,113277.61000000,113289.00000000,29.92576000,1760495699999,3396166.57636220,4934,16.45292000,1867046.98898320,0
1760495700000,113288.01000000,113298.29000000,113067.69000000,113120.10000000,17.61554000,1760495999999,1993567.28303090,3681,7.84215000,887502.38517200,0
1760496000000,113118.00000000,113209.51000000,113058.06000000,113099.01000000,6.64252000,1760496299999,751590.22043050,2527,4.43263000,501526.66143080,0
1760496300000,113099.01000000,113149.99000000,113075.13000000,113125.50000000,6.46944000,1760496599999,731786.76833380,2432,1.95723000,221375.62435160,0
1760496600000,113122.63000000,113170.39000000,113037.24000000,113073.00000000,6.99685000,1760496899999,791404.52464210,2626,2.04540000,231326.33251720,0
1760496900000,113072.00000000,113072.00000000,112868.55000000,112877.00000000,10.28826000,1760497199999,1162091.45241420,3180,4.26790000,482099.42970710,0
1760497200000,112876.99000000,112933.62000000,112639.14000000,112682.95000000,13.81234000,1760497499999,1557899.94046400,4488,5.31577000,599671.97130510,0
1760497500000,112682.96000000,112706.99000000,112520.28000000,112520.29000000,20.96056000,1760497799999,2360008.05483900,4647,6.58094000,740970.82333490,0
1760497800000,112520.29000000,112556.00000000,112401.45000000,112544.01000000,13.22492000,1760498099999,1487699.89178460,4346,4.18305000,470585.51600480,0
1760498100000,112544.00000000,112561.10000000,112399.70000000,112407.48000000,8.10752000,1760498399999,911897.38397880,3218,2.24811000,252861.68376100,0
1760498400000,112407.49000000,112467.66000000,112016.00000000,112276.90000000,43.69179000,1760498699999,4904352.45979120,5552,9.58336000,1075605.80029380,0
1760498700000,112276.89000000,112437.29000000,112276.89000000,112327.00000000,9.61568000,1760498999999,1080302.85527590,2005,5.47274000,614844.83347440,0
1760499000000,112327.01000000,112328.12000000,112198.70000000,112253.66000000,7.57734000,1760499299999,850672.08377540,2284,3.72218000,417868.67525370,0
1760499300000,112253.66000000,112276.64000000,112184.53000000,112200.00000000,5.11648000,1760499599999,574167.08594730,1597,1.31880000,147996.61002490,0
1760499600000,112196.75000000,112196.75000000,111931.40000000,112084.47000000,26.36473000,1760499899999,2954234.75900730,4003,12.08018000,1353528.52145730,0
1760499900000,112087.00000000,112102.19000000,111890.97000000,112099.99000000,11.90033000,1760500199999,1332523.85172210,3236,2.92323000,327310.40832840,0
1760500200000,112100.00000000,112204.40000000,112072.81000000,112127.76000000,6.16905000,1760500499999,691727.30045910,1863,3.37999000,378966.21999330,0
1760500500000,112131.09000000,112173.92000000,112061.17000000,112087.81000000,9.41313000,1760500799999,1055329.57307390,2099,6.40631000,718196.61283400,0
1760500800000,112093.60000000,112179.15000000,111815.94000000,111926.95000000,23.21379000,1760501099999,2599128.71027110,4077,8.37773000,938276.59752640,0
1760501100000,111926.94000000,112028.13000000,111894.66000000,111957.92000000,13.87484000,1760501399999,1553374.77258030,2659,6.43479000,720354.06056180,0
1760501400000,111957.93000000,112133.25000000,111957.93000000,112090.81000000,14.24270000,1760501699999,1595770.95701940,3208,7.49034000,839270.88071680,0
1760501700000,112090.81000000,112252.94000000,112026.01000000,112221.01000000,11.22681000,1760501999999,1258893.02390340,2719,8.12811000,911347.69911340,0
1760502000000,112221.01000000,112402.53000000,112181.04000000,112247.64000000,17.72047000,1760502299999,1990220.80416810,3036,8.79574000,987844.06191760,0
1760502300000,112249.19000000,112313.98000000,112164.40000000,112253.02000000,9.60593000,1760502599999,1078221.56120080,2834,3.47526000,390084.79282940,0
1760502600000,112253.01000000,112328.99000000,112149.95000000,112178.00000000,10.33242000,1760502899999,1159818.85986090,2896,5.55516000,623613.19003940,0
1760502900000,112178.00000000,112302.33000000,112178.00000000,112201.02000000,7.29811000,1760503199999,819235.38721840,3346,3.44470000,386649.72680150,0
1760503200000,112201.01000000,112295.99000000,112190.00000000,112277.00000000,5.46138000,1760503499999,612931.13238630,2504,2.95593000,331755.44954870,0
1760503500000,112277.00000000,112456.12000000,112221.87000000,112418.00000000,16.45927000,1760503799999,1849466.90236870,2727,8.56485000,962440.86304180,0
1760503800000,112418.99000000,112534.02000000,112372.41000000,112466.87000000,10.32499000,1760504099999,1161328.50312860,3179,5.36719000,603729.75316880,0
1760504100000,112466.98000000,112471.78000000,112388.09000000,112412.02000000,9.07369000,1760504399999,1020127.98445330,1459,3.70830000,416898.20988320,0
1760504400000,112410.82000000,112593.71000000,112387.72000000,112500.72000000,17.12760000,1760504699999,1926883.94317460,4241,8.44152000,949464.03681230,0
1760504700000,112502.12000000,112520.00000000,112407.48000000,112509.68000000,5.58134000,1760504999999,627761.37209890,2581,2.01978000,227167.78968590,0
1760505000000,112507.00000000,112577.31000000,112463.40000000,112554.00000000,6.15108000,1760505299999,692078.48669470,2221,3.79968000,427480.35538000,0
1760505300000,112554.00000000,112637.71000000,112465.01000000,112637.71000000,17.86596000,1760505599999,2010741.06130600,2508,10.52797000,1185023.43978670,0
1760505600000,112637.71000000,112637.98000000,112322.78000000,112402.00000000,10.45214000,1760505899999,1175387.27864820,3002,3.39765000,382043.97741840,0
1760505900000,112402.00000000,112475.39000000,112294.26000000,112380.80000000,8.04320000,1760506199999,903970.45965610,2357,3.38230000,380074.98793380,0
1760506200000,112380.99000000,112469.88000000,112244.00000000,112469.88000000,11.57170000,1760506499999,1299965.84662340,2568,8.34002000,936977.57725440,0
1760506500000,112474.08000000,112623.79000000,112447.01000000,112623.79000000,16.33833000,1760506799999,1838597.91352350,3924,8.93271000,1005193.05948100,0
1760506800000,112623.79000000,112731.99000000,112607.81000000,112620.60000000,24.52274000,1760507099999,2762924.56062710,3607,14.51112000,1634806.59794740,0
1760507100000,112620.60000000,112620.60000000,112447.44000000,112457.43000000,9.48085000,1760507399999,1066930.01960040,1856,4.47736000,503927.89869080,0
1760507400000,112457.43000000,112527.36000000,112427.46000000,112495.99000000,5.88365000,1760507699999,661838.59218070,1825,2.08110000,234099.30805870,0
1760507700000,112496.00000000,112520.35000000,112460.61000000,112498.01000000,3.15731000,1760507999999,355186.35922660,1289,1.18465000,133260.58369460,0
1760508000000,112498.01000000,112566.94000000,112395.01000000,112466.38000000,15.44092000,1760508299999,1736506.45084310,2782,9.59163000,1078392.04926940,0
1760508300000,112465.01000000,112491.76000000,112308.72000000,112308.72000000,14.94516000,1760508599999,1679413.52311200,2527,4.98848000,560556.11807190,0
1760508600000,112308.73000000,112394.78000000,112247.81000000,112305.99000000,6.10809000,1760508899999,686087.61902600,2247,2.73306000,306959.22541800,0
1760508900000,112305.99000000,112329.32000000,112049.10000000,112090.93000000,29.39751000,1760509199999,3298407.79792710,3409,5.52466000,619467.24007020,0
1760509200000,112090.93000000,112141.34000000,112000.00000000,112015.28000000,6.76552000,1760509499999,758242.97964310,2440,1.97502000,221381.17649050,0
1760509500000,112017.99000000,112078.97000000,111958.74000000,112012.61000000,17.51320000,1760509799999,1961796.75785960,2184,4.65430000,521334.10877830,0
1760509800000,112012.62000000,112149.99000000,111976.24000000,112093.80000000,5.03926000,1760510099999,564697.88139040,1955,3.26406000,365770.83529760,0
1760510100000,112093.80000000,112232.77000000,112056.01000000,112232.77000000,5.68864000,1760510399999,637983.05360220,2355,3.10850000,348647.94666880,0
1760510400000,112232.77000000,112641.00000000,112232.77000000,112399.01000000,24.67960000,1760510699999,2775903.25841310,5004,13.32465000,1498588.64236960,0
1760510700000,112399.01000000,112568.99000000,112373.01000000,112459.37000000,15.60423000,1760510999999,1754902.14149380,2293,10.83182000,1218078.80211150,0
1760511000000,112459.37000000,112497.37000000,112388.36000000,112460.61000000,19.14375000,1760511299999,2152793.96117760,1962,10.57468000,1189070.01941610,0
1760511300000,112460.61000000,112540.00000000,112406.00000000,112535.13000000,11.02632000,1760511599999,1240142.23154580,2474,4.15884000,467754.86998950,0
1760511600000,112535.13000000,112589.88000000,112469.17000000,112506.80000000,13.49952000,1760511899999,1519231.05315990,3373,4.43792000,499448.02000890,0
1760511900000,112506.80000000,112520.79000000,112301.89000000,112433.99000000,14.81997000,1760512199999,1666042.48036940,2238,7.07917000,795721.44892260,0
1760512200000,112429.01000000,112666.66000000,112426.23000000,112562.82000000,16.18843000,1760512499999,1822222.56838060,2465,9.76485000,1099101.19733560,0
1760512500000,112560.01000000,112766.65000000,112481.34000000,112490.63000000,21.11968000,1760512799999,2379579.18259880,4622,7.70766000,868385.44247960,0
1760512800000,112490.63000000,112588.01000000,112435.23000000,112581.62000000,7.97258000,1760513099999,897013.07785000,2471,2.49137000,280307.48034980,0
1760513100000,112581.62000000,112584.00000000,112425.78000000,112425.78000000,5.51095000,1760513399999,620165.25990370,1257,1.65331000,186042.95343850,0
1760513400000,112425.79000000,112508.86000000,112401.81000000,112459.01000000,8.00097000,1760513699999,899770.54606870,2673,4.89542000,550526.41782250,0
1760513700000,112459.26000000,112560.60000000,112448.01000000,112544.44000000,30.28356000,1760513999999,3406694.56352880,2631,22.91925000,2578183.63380310,0
1760514000000,112544.44000000,112560.00000000,112465.12000000,112509.87000000,7.18492000,1760514299999,808391.96217310,2022,3.29574000,370795.53303010,0
1760514300000,112509.87000000,112615.63000000,112462.08000000,112615.63000000,6.93307000,1760514599999,779973.01478360,1639,1.32439000,149042.61951230,0
1760514600000,112615.64000000,112645.50000000,112532.85000000,112590.88000000,11.11467000,1760514899999,1251569.09572270,2003,2.85330000,321255.13683680,0
1760514900000,112590.88000000,112659.36000000,112574.25000000,112645.66000000,6.88292000,1760515199999,775070.93836890,1632,3.46445000,390097.33858090,0
1760515200000,112645.66000000,112772.52000000,112595.54000000,112751.85000000,9.28917000,1760515499999,1046748.63994430,2707,6.26055000,705533.86237900,0
1760515500000,112751.86000000,112828.99000000,112682.60000000,112802.02000000,6.72301000,1760515799999,758110.42607470,1983,4.29676000,484539.47928770,0
1760515800000,112802.01000000,112988.72000000,112773.78000000,112975.01000000,22.70814000,1760516099999,2563743.43814650,3448,16.12871000,1820797.46393370,0
1760516100000,112975.01000000,113067.80000000,112920.00000000,112998.98000000,22.26438000,1760516399999,2515995.79367010,4736,10.70533000,1209732.61275710,0
1760516400000,112998.99000000,113237.35000000,112998.99000000,113064.74000000,28.65268000,1760516699999,3242399.10300840,5081,14.63574000,1656352.60170720,0
